job_title,company_name,location,job_type,job_location_type,experence_level,experence_years,job_category,skills_required
Head of Boy's School,Egypt Education Platform ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,5 - 7 Yrs of Exp, Education/Teaching,British - Education - Teaching
Full Stack Developer (MERN + Next.js/NestJS) - Remote,Guestna ,"Riyadh, Saudi Arabia",Full Time,Remote,Experienced,3 - 7 Yrs of Exp, IT/Software Development,React - Meteor - Node.js
CNC Machining setter,Point for HR consultant ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,5+ Yrs of Exp, Engineering - Mechanical/Electrical,CNC - Mechanical Engineering - Adhering - Drawings - Engineering - Mechanical - Production - Technical Drawings
Sales Account Manager/ KSA,TAB ERP Solutions ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,4 - 8 Yrs of Exp, Sales/Retail,B2B Sales - Sales Target - Sales - sales skills - Software Sales - Customer Service
Mechanical Design Engineer (LEBANESE) ONLY,Atwar Al Kon ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,3 - 5 Yrs of Exp, Engineering - Mechanical/Electrical,Design - Engineering - Firefighting - HVAC Systems - Infrastructure - Mechanical Engineering - Mechanical - TO
Infrastructure Maintenance Section Head,Confidential ,"Rabigh, Saudi Arabia",Full Time,On-site,Manager,7 - 10 Yrs of Exp, Installation/Maintenance/Repair,Facility - Engineering - Maintenance - Manufacturing - Infrastructure - HVAC
Sales Account Manager,MisMar ,"Riyadh, Saudi Arabia",Full Time,On-site,Entry Level,1 - 4 Yrs of Exp, Sales/Retail,Negotiation - Sales - Account Management - business - Business Administration - Communication - Administration - Customer Service - Management
IT Help Desk,Anjam Al Reyadah Company  ,"Khobar, Saudi Arabia",Full Time,On-site,Experienced,4 - 7 Yrs of Exp, Installation/Maintenance/Repair,Communication - Computer Systems - Help desk - technical - IT - Information Technology (IT)
Sales Representative – ERP Systems,Exceed ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,2+ Yrs of Exp, Sales/Retail,sales skills - Sales - Sales Target - Communication - Negotiation - ERP
Executive Secretary,Hedab Alkhaleej ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,3 - 5 Yrs of Exp, Administration,Administration - English - Microsoft Office - office - Secretary - computer - Office management
Shop Drawing Engineer – Furniture Specialization,Hedab Alkhaleej ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,3 - 6 Yrs of Exp, Engineering - Construction/Civil/Architecture,AutoCAD - Drawings - Engineering - Furniture - Shop Drawings - Technical Drawings - quality - Architecture
